ConsentTitle,لقد قمنا بتحديث شروطنا 
ConsentMainText,لمواصلة اللعب، عليك تأكيد موافقتك على شروط الخدمة الخاصة بنا وقراءة سياسة الخصوصية الخاصة بنا 
ConsentToS,شروط الخدمة 
ConsentPP,سياسة الخصوصية 
ConsentTitleYes,سترى إعلانات أفضل 
ConsentTextYes,رائع! نأمل أن تجد إعلاناتنا ملائمة ومناسبة لاهتماماتك. إذا غيرت رأيك في أي وقت، فيمكنك سحب هذه الموافقة عن طريق تمكين إلغاء الاشتراك في تخصيص الإعلانات ضمن الإعدادات/ Google /الإعلانات على جهازك والبدء في تلقي إعلانات عشوائية. 
ConsentTitleNo,سترى إعلانات عشوائية 
ConsentTextNo,لن نجمع بياناتك للإعلان المخصص في هذا التطبيق. ومع ذلك، يمكنك السماح لنا بتقديم إعلانات منظمة لك في تطبيق مختلف. في هذه الحالة، سنجمع بياناتك في ذلك التطبيق الآخر ونوفر لك تجربة إعلانية مخصصة هناك. 
Close,إغلاق 
Reject,رفض 
Accept,قبول 
Continue,مواصلة 
Notif0Title,حان الوقت لـ ... 
Notif0Text,توصيل الأنابيب! 
Notif1Title,عقلك يفتقدني! 
Notif1Text,أعد ملء حماسك وتعال العب! 
Notif2Title,حسّن مهاراتك العقلية! 
Notif2Text,هل أنت مستعد لتحدي الأنابيب؟ 
Notif3Title,هل انت ذكي بما فيه الكفاية؟ 
Notif3Text,أتحداك أن تنهي أصعب المستويات! 
USEAST,شرق الولايات المتحدة 
CANADA,كندا 
MEXICO,المكسيك 
BRAZIL,البرازيل 
UK,المملكة المتحدة 
GERMANY,ألمانيا 
FRANCE,فرنسا 
SPAIN,إسبانيا 
ITALY,إيطاليا 
GREECE,اليونان 
TURKEY,تركيا 
EGYPT,مصر 
SAUDI,المملكة العربية السعودية 
KENYA,كينيا 
IRAN,إيران 
INDIA,الهند 
THAILAND,تايلاند 
SINGAPORE,سنغافورة 
AUSTRALIA,أستراليا 
NEWZEALAND,نيوزيلاندا 
TAIWAN,تايوان 
CHINA,الصين 
KOREA,كوريا 
JAPAN,اليابان 
RUSSIA,روسيا 
USWEST,غرب الولايات المتحدة 
DailyQuests,المهام اليومية 
Reward,مكافأة 
Coins,۱۲ عملات معدنية 
InfiniteHearts,۱۲ ساعة من القلب اللانهائي 
InfiniteMoves,۱۲ تحركات لانهائية 
Hints,۱۲ تلميحات 
Easy,سهل 
Medium,متوسط 
Hard,صعب 
Claimed,مطالبة! 
Date,الجمعة ۲۶ مارس  
Saturday,السبت 
Sunday,الأحد 
Monday,الاثنين 
Tuesday,الثلاثاء 
Wednesday,الأربعاء 
Thursday,الخميس 
Friday,الجمعة 
January,يناير 
February,فبراير 
March,مارس 
April,أبريل 
May,مايو 
June,يونيو 
July,تموز 
August,أغسطس 
September,سبتمبر 
October,اكتوبر 
November,نوفمبر 
December,ديسمبر 
Q_RotateTiles,تدوير ۱۰۰ بلاطة 
Q_FinishLevels,اربح ۱۰۰ مستوى 
Q_EarnCoins,اربح ۱۰۰ قطعة نقدية 
Q_EarnInfiniteHearts,اكسب ۱۰۰ دقيقة من القلوب اللانهائية 
Q_EarnHints,اكسب ۱۰۰ تلميح 
Q_EarnInfiniteMove,اكسب ۱۰۰ حركة لانهائية 
Q_WinLevelsContinuously,اربح ۱۰۰ مستوى دون خسارة 
Q_EarnCards,اربح ۱۰۰ بطاقة في المجموعة 
Q_EarnStars,اربح ۱۰۰ نجمة 
Q_UsePowerUps,استخدم ۱۰۰ تلميح أو حركات لا نهائية 
Q_WinWithoutUndo,اربح ۱۰۰ مستوى بدون استخدام زر التراجع 
Q_FillWells,املأ ۱۰۰ بئر 
Q_GrowPlants,ازرع ۱۰۰ نبتة 
Q_WinWith3Stars,اربح ۱۰۰ مستوى بثلاث نجوم 
Q_FillPipes,املأ ۱۰۰ أنبوب 
Q_OpenChests,افتح ۱۰۰ صندوق 
Q_OpenStarChest,افتح ۱۰۰ صندوق نجمة 
Q_OpenLevelChest,افتح ۱۰۰ صندوق مستوى  
Q_ReachSpecificLevel,وصول إلى المستوى ۱۰۰ 
Q_PlayLevelsForSomeSeconds,لعب المستويات لما مجموعه ۱۰۰ دقيقة 
Q_EarnScore,اكسب ما مجموعه ۱۰۰ مع الدرجات الخاصة بك 
Q_PlayLevelsForSomeSecondsContinuously,العب المستويات لما مجموعه ۱۰۰ دقيقة دون إغلاق اللعبة 
TapOnAllShapes,اضغط على جميع الأشكال! 
Awesome,رائع! 
Claim,مطالبة 
Collection,مجموعة 
FinishLevelX,إنهاء المستوى ۱۲ 
Settings,الإعدادات 
