ConsentTitle,Şartlarımızı güncelledik
ConsentMainText,Oynamaya devam etmek için Kullanım Şartlarımızı kabul ettiğinizi onaylamanız ve Gizlilik Politikamızı okumanız gerekir.
ConsentToS,Kullanım Şartları
ConsentPP,Gizlilik Politikası
ConsentTitleYes,Daha iyi reklamlar göreceksiniz
ConsentTextYes,Harika! Reklamlarımızı ilgi alanlarınıza uygun ve alakalı bulacağınızı umuyoruz. Fikrinizi değiştirirseniz, cihazınızda Ayarlar Google/Reklamlar altında Reklam Kişiselleştirme'yi devre dışı bırakmayı etkinleştirerek bu izni geri alabilir ve rastgele reklamlar almaya başlayabilirsiniz.
ConsentTitleNo,Rastgele reklamlar göreceksiniz
ConsentTextNo,Bu uygulamada kişiselleştirilmiş reklamlar için verilerinizi toplamayacağız. Yine de, düzenlenmiş reklamları size farklı bir uygulamada sunmamız için bize yetki verebilirsiniz. Bu durumda, verilerinizi diğer uygulamada toplayacağız ve size orada kişiselleştirilmiş bir reklam deneyimi sunacağız.
Close,KAPAT
Reject,Reddet
Accept,KABUL ET
Continue,Devam Et
Notif0Title,Zamanı...
Notif0Text,Boruları Bağla!
Notif1Title,Beynin beni özler!
Notif1Text,Kalplerini tekrar doldur ve oyna!
Notif2Title,Zihinsel becerilerini geliştir!
Notif2Text,Borulara meydan okumaya hazır mısın?
Notif3Title,Yeterince zeki misin?
Notif3Text,En zor seviyeleri haydi bitir bakalım!
USEAST,ABD Doğu
CANADA,Kanada
MEXICO,Meksika
BRAZIL,Brezilya
UK,Birleşik Krallık
GERMANY,Almanya
FRANCE,Fransa
SPAIN,İspanya
ITALY,İtalya
GREECE,Yunanistan
TURKEY,Türkiye
EGYPT,Mısır
SAUDI,Suudi Arabistan
KENYA,Kenya
IRAN,İran
INDIA,Hindistan
THAILAND,Tayland
SINGAPORE,Singapur
AUSTRALIA,Avustralya
NEWZEALAND,Yeni Zelanda
TAIWAN,Tayvan
CHINA,Çin
KOREA,Kore
JAPAN,Japonya
RUSSIA,Rusya
USWEST,ABD Batı
DailyQuests,Günlük Maceralar
Reward,Ödül
Coins,12 Para
InfiniteHearts,12 Saat Sonsuz Kalp
InfiniteMoves,12 Sonsuz Hareket
Hints,12 İpucu
Easy,Kolay
Medium,Orta
Hard,Zor
Claimed,Talep edildi!
Date,26 Mart Cuma
Saturday,Cumartesi
