ConsentTitle,हमने अपनी शर्तों को अपडेट किया है
ConsentMainText,खेलना जारी रखने के लिए आपको यह पुष्टि करने की आवश्यकता है कि आपने हमारी सेवा की शर्तों को सहमति दे दी है और हमारी गोपनीयता नीति पढ़ ली है
ConsentToS,सेवा की शर्तें
ConsentPP,गोपनीयता नीति
ConsentTitleYes,आपको बेहतर विज्ञापन दिखाई देंगे
ConsentTextYes,बढ़िया! हमें उम्मीद है कि आप हमारे विज्ञापनों को योग्य और अपने रुचि के अनुरूप पा रहे है। यदि आप कभी भी अपना विचार बदलते हैं, तो आप अपने उपकरण पर Settings/Google/Ads में Ads Personalization से ऑप्ट आउट करके इस सहमति को वापस ले सकते हैं और यादृच्छिक विज्ञापन प्राप्त करना शुरू कर सकते हैं।
ConsentTitleNo,आपको यादृच्छिक विज्ञापन दिखाई देंगे
ConsentTextNo,हम इस ऐप्लिकेशन में वैयक्तिकृत विज्ञापन के लिए आपका डेटा इकट्ठा नहीं करेंगे। फिर भी, आप हमें एक अलग ऐप में वर्गीकृत विज्ञापनों की सेवा प्रदान करने के लिए अधिकृत कर सकते हैं। उस स्थिति में हम आपके डेटा को उस अन्य ऐप में इकट्ठा करेंगे और आपको वहाँ एक वैयक्तिकृत विज्ञापन अनुभव प्रदान करेंगे।
Close,बंद करे
Reject,अस्वीकार करें
Accept,स्वीकार करें
Continue,जारी रखें
Notif0Title,यह समय...
Notif0Text,पाइपों को जोड़ने का है!
Notif1Title,आपका मस्तिष्क मुझे याद करता है!
Notif1Text,अपने दिल को उत्साह से भरे और खेलें!
Notif2Title,अपने मानसिक कौशल में सुधार करें!
Notif2Text,क्या आप पाइपों की चुनौती के लिए तैयार हैं?
Notif3Title,क्या आप पर्याप्त होशियार हैं?
Notif3Text,मैं आपको सबसे कठिन स्तरों को पूर्ण करने की चुनौती देता हूं!
USEAST,अमेरिका पूर्व
CANADA,कनाडा
MEXICO,मेक्सिको
BRAZIL,ब्राज़िल
UK,यूनाइटेड किंगडम
GERMANY,जर्मनी
FRANCE,फ्रांस
SPAIN,स्पेन
ITALY,इटली
GREECE,यूनान
TURKEY,तुर्की
EGYPT,मिस्र
SAUDI,सऊदी अरब
KENYA,केन्या
IRAN,ईरान
INDIA,भारत
THAILAND,थाईलैंड
SINGAPORE,सिंगापुर
AUSTRALIA,ऑस्ट्रेलिया
NEWZEALAND,न्यूज़ीलैंड
TAIWAN,ताइवान
CHINA,चीन
KOREA,कोरिया
JAPAN,जापान
RUSSIA,रूस
USWEST,अमेरिका पश्चिम
DailyQuests,दैनिक लक्ष्य
Reward,इनाम
Coins,12 सिक्के
InfiniteHearts,असीमित हृदय के 12 घंटे
InfiniteMoves,12 असीमित चालें
Hints,12 संकेत
Easy,आसान
Medium,मध्यम
Hard,मुश्किल
Claimed,दावा किया!
Date,शुक्रवार, 26 मार्च
Saturday,शनिवार
Sunday,रविवार
Monday,सोमवार
Tuesday,मंगलवार
Wednesday,बुधवार
Thursday,गुरूवार
Friday,शुक्रवार
January,जनवरी
February,फ़रवरी
March,मार्च
April,अप्रैल
May,मई
June,जून
July,जुलाई
August,अगस्त
September,सितंबर
October,अक्टूबर
November,नवंबर
December,दिसंबर
Q_RotateTiles,100 टाइल्स घुमाएं
Q_FinishLevels,100 स्तर जीते
Q_EarnCoins,100 सिक्के कमाएँ
Q_EarnInfiniteHearts,असीमित दिल के 100 मिनट कमाएँ
Q_EarnHints,100 संकेत कमाएँ
Q_EarnInfiniteMove,100 असीमिति चालें कमाएँ
Q_WinLevelsContinuously,बिना हारे 100 स्तर जीतें
Q_EarnCards,संग्रह में 100 कार्ड कमाएँ
Q_EarnStars,100 सितारे कमाएँ
Q_UsePowerUps,100 संकेत या असीमित चालों का उपयोग करें
Q_WinWithoutUndo,पूर्ववत बटन का उपयोग किए बिना 100 स्तरों को जीतें
Q_FillWells,100 कुएं भरें
Q_GrowPlants,100 पौधे उगाएं
Q_WinWith3Stars,3 सितारों के साथ 100 स्तर जीतें
Q_FillPipes,100 पाइप भरें
Q_OpenChests,100 संदूक खोलें
Q_OpenStarChest,100 सितारे वाले संदूक खोलें
Q_OpenLevelChest,100 स्तरों वाला संदूक खोलें
Q_ReachSpecificLevel,100 स्तर तक पहुंचें
Q_PlayLevelsForSomeSeconds,कुल 100 मिनट के लिए स्तर खेलें
Q_EarnScore,अपने स्कोर के साथ कुल 100 कमाएँ
Q_PlayLevelsForSomeSecondsContinuously,गेम को बंद किए बिना कुल 100 मिनट के लिए स्तर खेलें
TapOnAllShapes,सभी आकृतियों पर टैप करें!
Awesome,बहुत बढ़िया!
Claim,दावा करें
Collection,संग्रह
FinishLevelX,स्तर 12 को समाप्त करें
Settings,सेटिंग्स
Sounds,ध्वनि
Music,संगीत
Vibration,वाइब्रेशन
Achievements,उपलब्धियां
Full,पूर्ण
Store,दुकान
NoAds,खेल से विज्ञापन हटाने के लिए $12 का भुगतान करें
RestorePurchases,खरीदारी वापस लौटाएं
XHours,12 घंटे
Beginner,आरंभकर्ता बंडल
Super,सुपर बंडल
Mega,मेगा बंडल
Giant,बड़ा बंडल
Champion,चैंपियन का बंडल
Legendary,लीजेंडरी बंडल
Sale,सेल
MostPopular,सबसे लोकप्रिय
BestValue,सबसे अच्छा मूल्य
LevelX,स्तर 12
Share,साझा करें
OutOfMoves,चालें खत्म हुए
GetXMoves,जारी रखने के लिए 5 चालें प्राप्त करें
VideoAd,वीडियो
PlayOn,खेलना जारी रखें
LevelFailed,स्तर असफल हुआ!
TryAgain,पुनः प्रयास करें
NoAdsTitle,विज्ञापन
NoAdsButton,कोई विज्ञापन नहीं
FTUE_Rotate,पाइपों को घुमाने के लिए उन पर टैप करें!
FTUE_AllPipes,आपको सभी पाइपों का उपयोग करना चाहिए!
FTUE_WaterToPlants,आपके पास जितने भी चाले हैं उतने पौधों को पानी दें!
FTUE_Undo,आप हमेशा अपने पिछली चाल को पूर्ववत कर सकते हैं!
FTUE_Hint,आप स्तर के एक भाग को हल करने के लिए संकेत का उपयोग कर सकते हैं!
FTUE_IM,आप अपनी चालों को असीमित बना सकते हैं!
FTUE_Card,आपने एक कार्ड इकट्ठा किया है!
FTUE_Collection1,आप हमेशा अपने कार्ड को अपने संग्रह में देख सकते हैं!
FTUE_Store,आप स्टोर में अधिक पा सकते हैं!
FTUE_Collection2,आपके संग्रह में आपका स्वागत है! आप अपने किसी भी कार्ड को देखने के लिए किसी भी कार्ड पर टैप कर सकते हैं!
FTUE_Quests,विभिन्न लक्ष्यों को पूरा करें और विभिन्न इनाम प्राप्त करें!
FTUE_Quest24,हर 24 घंटे में यहाँ नए लक्ष्य होंगे!
TapShowBoard,बोर्ड देखने के लिए यहां टैप करें!
TapToReturn,वापस लौटने के लिए टैप करें!
TapToSkip,स्किप करने के लिए टैप करें!
AreYouSure,क्या आप निश्चित है?
YouLoseHeart,आप 1 दिल खो देंगे!
YouWontLoseHeart,आप दिल नहीं खोएंगे!
Quit,छोड़े
ShareMessage,मैं पाइप्स के साथ होशियार हो रहा हूँ 😍! यहां से डाउनलोड करें:
Enter,एंटर करें 
SelectChapter,चैप्टर का चयन करें
FTUE_Chapters,आप यहां से चैप्टर के बीच स्विच कर सकते हैं!
LevelsXY,स्तर 1-20
Buy,ख़रीदे 
Refill,रिफिल करें 
Get3Hints,3 संकेत प्राप्त करें!
Get3IMs,3 अनंत चालें प्राप्त करें!
GetFullHearts,अपने दिलों को 5 पर रिचार्ज करें!
MoreOffers,अधिक ऑफर्स!
LockersExplain,स्तर 2 में अनलॉक करें
Rating,पाइप्स को 2 उत्साही डेवलपर्स की एक टीम द्वारा विकसित किया गया था! हमारे खेल को रेटिंग देकर यहां किए गए काम में सुधार करें। धन्यवाद! <3
FTUE_Rotate2,घुमाने के लिए टैप करें!
FTUE_AllPipes2,सभी पाइपों का इस्तेमाल करें!
FTUE_WaterToPlants2,आपके पास सीमित चालें हैं!
FTUE_Undo2,पूर्ववत करने के लिए टैप करें!
FTUE_Hint2,संकेत का उपयोग करने के लिए टैप करें!
FTUE_IM2,अनंत चालों का उपयोग करने के लिए टैप करें!
FTUE_Card2,कार्ड को इकट्ठा किया गया!
FTUE_Collection1_2,संग्रह देखने के लिए टैप करें!
FTUE_Store2,स्टोर में और प्राप्त करें!
FTUE_Collection2_2,कार्ड्स को देखने के लिए कार्ड्स पर टैप करें!
FTUE_Quests2,खोज पूरी करें और पुरस्कार प्राप्त करें!
FTUE_Quest24_2,हर 24 घंटे में एक नई खोज!
FTUE_Chapters_2,चैप्टर चुनने के लिए टैप करें!
ChooseTwoGifts,2 उपहार चुनें!
TwoMoreGifts,2 और उपहार!
OutOfHearts,दिल खत्म हो चुके है!
TimeToNextHeart,अगले दिल के लिए समय:
RefillHearts,दिलों को रिफिल करें 
RateUs,हमें रेटिंग दें
LoadCloudData,पिछली बार सेव किए हुए स्तर को लोड करना चाहते हो?
Retry,पुनः प्रयास करें
