ConsentTitle,Wij hebben onze algemene voorwaarden bijgewerkt
ConsentMainText,Om verder te spelen moet u bevestigen dat u akkoord gaat met onze servicevoorwaarden en dat u ons privacybeleid hebt gelezen
ConsentToS,Servicevoorwaarden
ConsentPP,Privacybeleid
ConsentTitleYes,U zult betere advertenties te zien krijgen
ConsentTextYes,Geweldig! We hopen dat onze advertenties relevant zullen zijn voor u. U kunt deze toestemming intrekken door het ontvangen van gepersonaliseerde advertenties onder Instellingen/Google/Advertenties op uw apparaat uit te schakelen. Hierdoor zult u willekeurige advertenties ontvangen.
ConsentTitleNo,U krijgt willekeurige advertenties te zien
ConsentTextNo,Wij zullen uw gegevens niet verzamelen voor gepersonaliseerde reclame in deze app. U kunt ons echter toestemming geven om u gepersonaliseerde advertenties aan te bieden in een andere app. In dat geval zullen wij uw gegevens in die andere app verzamelen en zult u daar gepersonaliseerde advertenties te zien krijgen.
Close,Sluiten
Reject,Weigeren
Accept,Aanvaarden
Continue,Verdergaan
Notif0Title,Het is tijd om...
Notif0Text,Leidingen te verbinden!
Notif1Title,Je brein mist me!
Notif1Text,Maak ons blij en kom terug!
Notif2Title,Verbeter je mentale vaardigheden!
Notif2Text,Ben je klaar voor de uitdaging?
Notif3Title,Ben je slim genoeg?
Notif3Text,Ik daag je uit om het moeilijkste level te proberen!
USEAST,Oosten van de VS
CANADA,Canada
MEXICO,Mexico
BRAZIL,Brazilië
UK,Verenigd Koninkrijk
GERMANY,Duitsland
FRANCE,Frankrijk
SPAIN,Spanje
ITALY,Italië
GREECE,Griekenland
TURKEY,Turkije
EGYPT,Egypte
SAUDI,Saoedi-Arabië
KENYA,Kenia
IRAN,Iran
INDIA,India
THAILAND,Thailand
SINGAPORE,Singapore
AUSTRALIA,Australië
NEWZEALAND,Nieuw-Zeeland
TAIWAN,Taiwan
CHINA,China
KOREA,Korea
JAPAN,Japan
RUSSIA,Rusland
USWEST,Westen van de VS
DailyQuests,Dagelijkse uitdagingen
Reward,Beloning
Coins,12 munten
InfiniteHearts,12 uur oneindig hart
InfiniteMoves,12 oneindige zetten
Hints,12 tips
Easy,Eenvoudig
Medium,Gemiddeld
Hard,Moeilijk
Claimed,Opgeëist
Date,vrijdag 26 maart
Saturday,zaterdag
Sunday,zondag
Monday,maandag
Tuesday,dinsdag
Wednesday,woensdag
Thursday,donderdag
Friday,vrijdag
January,januari
February,februari
March,maart
April,april
May,mei
June,juni
July,juli
August,augustus
September,september
October,oktober
November,november
December,december
Q_RotateTiles,Draai 100 tegels rond
Q_FinishLevels,Win 100 levels
Q_EarnCoins,Verdien 100 munten
Q_EarnInfiniteHearts,Verdien 100 minuten van oneindig hart
Q_EarnHints,Verdien 100 tips
Q_EarnInfiniteMove,Verdien 100 oneindige zetten
Q_WinLevelsContinuously,Win 100 levels zonder te verliezen
Q_EarnCards,Verdien 100 kaarten in de verzameling
Q_EarnStars,Verdien 100 sterren
Q_UsePowerUps,Gebruik 100 tips of oneindige zetten
Q_WinWithoutUndo,Win 100 levels zonder de knop ongedaan te gebruiken
Q_FillWells,Vul 100 waterputten
Q_GrowPlants,Groei 100 planten
Q_WinWith3Stars,Win 100 levels met 3 sterren
Q_FillPipes,Vul 100 leidingen
Q_OpenChests,Open 100 kisten
Q_OpenStarChest,Open 100 sterrenkisten
Q_OpenLevelChest,Open 100 levelkisten
Q_ReachSpecificLevel,Bereik level 100
Q_PlayLevelsForSomeSeconds,Speel levels voor een totaal van 100 minuten
Q_EarnScore,Win een totaal van 100 met je score
Q_PlayLevelsForSomeSecondsContinuously,Speel levels voor een totaal van 100 minuten zonder het spel te sluiten
TapOnAllShapes,Tik op alle vormen
Awesome,Ongelofelijk!
Claim,Opeisen
Collection,Verzameling
FinishLevelX,Voltooi level 12
Settings,Instellingen
Sounds,Geluiden
Music,Muziek
Vibration,Vibratie
Achievements,Resultaten
Full,Vol
Store,Winkel
NoAds,Betaal $ 12 om advertenties uit het spel te verwijderen
RestorePurchases,Aankopen herstellen
XHours,12 uur
Beginner,Beginnerspakket
Super,Super pakket
Mega,Mega pakket
Giant,Gigantisch pakket
Champion,Kampioenspakket
Legendary,Legendarisch pakket
Sale,Uitverkoop
MostPopular,Meest populair
BestValue,Beste waarde
LevelX,Level 12
Share,Delen
OutOfMoves,Geen zetten meer
GetXMoves,Ontvang 5 zetten om verder te gaan
VideoAd,Video
PlayOn,Blijf spelen
LevelFailed,Level gefaald!
TryAgain,Probeer opnieuw
NoAdsTitle,ADVERTENTIES
NoAdsButton,GEEN ADVERTENTIES
FTUE_Rotate,Tik op de leidingen om ze te draaien
FTUE_AllPipes,Je moet alle leidingen gebruiken!
FTUE_WaterToPlants,Geef water aan alle planten met het aantal zetten waar je over beschikt!
FTUE_Undo,Je kunt je laatste zet altijd ongedaan maken!
FTUE_Hint,Je kunt een tip gebruiken om het level op te lossen!
FTUE_IM,Je kunt een oneindig aantal zetten krijgen!
FTUE_Card,Je hebt een kaart gekregen!
FTUE_Collection1,Je kunt je kaarten bekijken in je verzameling!
FTUE_Store,Je kunt meer vinden in de winkel!
FTUE_Collection2,Welkom in je verzameling! Tik op een kaart om ze te bekijken!
FTUE_Quests,Voltooi verschillende uitdagingen en ontvang verschillende beloningen!
FTUE_Quest24,Hier vind je nieuwe uitdagingen elke 24 uur!
TapShowBoard,Tik hier om het bord te zien!
TapToReturn,Tik hier om terug te keren!
TapToSkip,Tik hier om over te slaan!
AreYouSure,Ben je zeker?
YouLoseHeart,Je zult 1 hart verliezen!
YouWontLoseHeart,Je zult geen hart verliezen
Quit,Stoppen
ShareMessage,Ik word slimmer door Leidingen te spelen ??! Download op:
Enter,Binnengaan
SelectChapter,Selecteer een hoofdstuk
FTUE_Chapters,U kunt hier van hoofdstuk veranderen!
LevelsXY,Levels 1-20
Buy,Kopen
Refill,Bijvullen
Get3Hints,Krijg 3 tips!
Get3IMs,Krijg 3 oneindige zetten!
GetFullHearts,Vul je harten bij tot 5!
MoreOffers,Meer aanbiedingen!
LockersExplain,Ontgrendelt op level 2
Rating,Pipes werd ontwikkeld door 2 gepassioneerde ontwikkelaars! Help ons door ons spel te beoordelen. Bedankt! <3
FTUE_Rotate2,Tik om te roteren!
FTUE_AllPipes2,Gebruik alle leidingen!
