ConsentTitle,我们更新了条款
ConsentMainText,如需继续游戏，您需要确认同意我们的服务条款并已阅读我们的隐私政策
ConsentToS,服务条款
ConsentPP,隐私政策
ConsentTitleYes,您将会观看到更优质广告
ConsentTextYes,很好！我们希望您觉得我们的广告是符合您兴趣的。如果你改变了主意，你可以通过在 设置/谷歌/广告 中启用退出广告个性化选项来撤销你的同意，并开始接收随机广告。
ConsentTitleNo,您将会观看到随机广告
ConsentTextNo,我们不会在本应用程序中为个性化广告收集您的数据。不过，您可以授权我们在其他应用程序中为您提供策划广告。在这种情况下，我们将在其他应用程序中收集您的数据，并在该应用程序中为您提供个性化广告体验。
Close,关闭
Reject,拒绝
Accept,接收
Continue,继续
Notif0Title,是时候……
Notif0Text,连接管道！
Notif1Title,你的脑海浮现我啦！
Notif1Text,整装待发，来玩吧！
Notif2Title,提高你的思维能力！
Notif2Text,准备好来点管道挑战了吗？
Notif3Title,是否足够聪明？
Notif3Text,我敢说你不太可能完成最难的关卡！
USEAST,美国东部
CANADA,加拿大
MEXICO,墨西哥
BRAZIL,巴西
UK,英国
GERMANY,德国
FRANCE,法国
SPAIN,西班牙
ITALY,意大利
GREECE,希腊
TURKEY,土耳其
EGYPT,埃及
SAUDI,沙特阿拉伯
KENYA,肯尼亚
IRAN,伊朗
INDIA,印度
THAILAND,泰国
SINGAPORE,新加坡
AUSTRALIA,澳大利亚
NEWZEALAND,新西兰
TAIWAN,中国台湾
CHINA,中国
KOREA,韩国
JAPAN,日本
RUSSIA,俄罗斯
USWEST,美国西部
DailyQuests,每日任务
Reward,奖励
Coins,12个硬币
InfiniteHearts,12小时无限之心
InfiniteMoves,12个无限移动
Hints,12个提示
Easy,简单
Medium,中级
Hard,困难
Claimed,声称！
Date,周五，3月26日
Saturday,周六
Sunday,周日
Monday,周一
Tuesday,周二
Wednesday,周三
Thursday,周四
Friday,周五
January,一月
February,二月
March,三月
April,四月
May,五月
June,六月
July,七月
August,八月
September,九月
October,十月
November,十一月
December,十二月
Q_RotateTiles,旋转100块
Q_FinishLevels,赢得100个关卡
Q_EarnCoins,获得100个硬币
Q_EarnInfiniteHearts,获得100分钟的无限之心
Q_EarnHints,获得100个提示
Q_EarnInfiniteMove,获得100个无限移动
Q_WinLevelsContinuously,零失误赢得100个关卡
Q_EarnCards,在收集中获得100个卡片
Q_EarnStars,获得100个星星
Q_UsePowerUps,使用100个提示或无限移动
Q_WinWithoutUndo,未使用撤销赢得100个关卡
Q_FillWells,填满100个井
Q_GrowPlants,种植100个植物
Q_WinWith3Stars,全部3星赢得100个关卡
Q_FillPipes,填满100个管道
Q_OpenChests,打开100个宝箱
Q_OpenStarChest,打开100个星星宝箱
Q_OpenLevelChest,打开100个关卡宝箱
Q_ReachSpecificLevel,到达100关
