ConsentTitle,저희는 이용 약관을 개정했습니다
ConsentMainText,계속 플레이하시려면, 저희의 이용 약관에 동의하시고 개인 정보 보호 정책을 읽으셨음을 확인해주셔야 합니다
ConsentToS,이용 약관
ConsentPP,개인 정보 보호 정책
ConsentTitleYes,더 나은 광고를 보시게 될 것입니다
ConsentTextYes,좋습니다! 저희는 여러분이 저희 광고가 여러분의 흥미와 관련되고 적절하다는 것을 발견하기를 바랍니다. 만약 마음이 바뀌신다면, 여러분의 디바이스에서 설정 -> 구글 -> 광고의 광고 개인화 탈퇴 기능을 통해 동의를 철회하시고 임의의 광고를 받기 시작하실 수 있습니다.
ConsentTitleNo,임의의 광고를 보시게 될 것입니다
ConsentTextNo,저희는 이 앱 내의 개인화된 광고를 목적으로 데이터를 수집하지 않을 것입니다. 그럼에도 불구하고, 당신은 저희가 다양한 앱 내에서 여러분께 엄선된 광고들을 제공해드릴 수 있도록 허용해주실 수 있습니다. 그 경우, 저희는 다른 앱에서 데이터를 수집하여 그 곳에서의 맞춤형 광고를 제공해드릴 것입니다.
Close,닫기
Reject,거절
Accept,승인
Continue,계속
Notif0Title,시간이 다 됐습니다...
Notif0Text,파이프들을 연결하세요!
Notif1Title,당신의 두뇌가 저를 그리워합니다!
Notif1Text,하트를 충전하고 플레이하러 와 주세요!
Notif2Title,정신력을 계발해 봅시다!
Notif2Text,파이프 도전에 응하시겠습니까?
Notif3Title,충분히 똑똑하신가요?
Notif3Text,가장 어려운 레벨들을 완료하실 수 있는지 보겠습니다!
USEAST,미국 동부
CANADA,캐나다
MEXICO,멕시코
BRAZIL,브라질
UK,영국
GERMANY,독일
FRANCE,프랑스
SPAIN,에스파냐
ITALY,이탈리아
GREECE,그리스
TURKEY,터키
EGYPT,이집트
SAUDI,사우디 아라비아
KENYA,케냐
IRAN,이란
INDIA,인도
THAILAND,타이
SINGAPORE,싱가포르
AUSTRALIA,오스트레일리아
NEWZEALAND,뉴질랜드
TAIWAN,타이완
CHINA,중국
KOREA,한국
JAPAN,일본
RUSSIA,러시아
USWEST,미국 서부
DailyQuests,일일 퀘스트
